"","PE1","PE2","PE3","PE4","EE1","EE2","EE3","EE4","SI1","SI2","SI3","HM1","HM2","HM3","HA1","HA2","HA3","HA4","BI1","BI2","BI3"
10199649667,7,6,7,7,6,7,7,6,5,6,6,5,5,4,6,4,6,6,7,5,7
10199650505,6,5,5,5,5,6,6,5,4,6,6,5,5,4,4,4,5,5,5,5,5
10199650927,4,6,5,4,4,4,5,4,5,4,6,4,5,5,4,3,4,4,5,4,5
10199652745,7,7,7,4,7,5,4,3,2,2,1,4,4,2,7,7,5,4,4,4,4
10199659469,6,6,5,4,6,6,5,5,3,3,4,4,4,4,7,3,4,5,5,4,5
10199660821,7,6,6,5,5,5,6,6,4,5,5,4,4,3,5,4,5,5,6,6,7
10199663780,5,6,5,5,5,4,5,5,4,5,4,5,4,5,4,5,5,5,4,5,4
10199665790,3,4,5,4,2,4,4,3,2,4,4,2,3,4,2,4,4,3,2,4,4
10199666029,6,5,6,4,7,7,7,7,1,1,1,4,4,4,4,4,4,4,7,4,7
10199668348,6,6,5,4,4,4,4,5,4,3,4,5,5,3,5,3,4,5,6,5,5
10199676019,4,4,4,4,4,4,6,3,4,3,4,5,6,4,4,5,4,4,4,5,4
10199678764,7,5,5,5,6,6,5,5,7,7,7,5,5,5,7,6,7,7,5,5,5
10199680559,4,5,5,4,4,4,3,5,4,4,4,3,4,5,4,2,4,3,3,4,4
10199680624,6,7,6,5,6,6,6,5,5,5,6,5,4,4,5,4,5,5,6,5,6
10201555762,7,7,5,3,7,4,5,4,3,3,3,4,4,1,4,2,4,5,6,4,6
10201561045,7,7,7,4,7,6,7,6,4,3,3,4,4,4,6,4,5,5,4,4,7
10201562688,6,6,5,6,5,5,6,5,5,5,5,5,6,5,4,4,3,5,5,5,5
10201565432,6,6,6,3,4,6,4,4,3,3,3,5,5,5,5,5,5,5,5,5,6
10201567469,4,5,5,4,4,5,5,4,5,4,5,4,4,4,5,5,6,6,5,5,5
10201568375,6,5,4,4,4,5,5,5,4,5,5,5,5,5,4,4,4,4,6,5,6
10201569896,6,5,5,6,5,5,6,4,5,5,6,6,5,5,5,5,6,6,5,5,6
10201571678,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,4,5,5,5,5,5
10201572183,6,6,6,6,6,5,6,4,6,6,6,7,6,6,7,7,7,7,7,7,7
10201574310,5,5,4,3,5,5,5,5,4,5,4,4,4,3,4,4,4,3,6,4,6
10201575284,4,5,5,4,4,3,5,5,5,4,5,4,5,4,5,3,4,4,5,4,4
10201577530,6,6,5,6,6,5,6,6,6,5,6,5,6,6,6,5,6,6,6,5,6
10201577672,6,6,6,4,6,6,6,6,2,2,2,4,4,4,5,4,3,6,6,6,6
10201578139,6,4,4,3,5,4,5,4,4,4,4,4,5,4,4,3,4,5,5,4,5
10201578163,3,5,5,6,5,6,7,6,5,6,4,5,6,7,5,5,7,7,5,4,5
10201582538,4,6,4,4,5,5,5,4,5,5,4,6,4,5,5,4,5,5,5,4,5
10201585549,6,5,5,5,6,7,7,6,6,7,6,4,4,4,3,1,6,6,7,6,7
10201590022,5,5,6,5,5,5,5,5,5,5,5,3,3,3,5,3,4,5,2,3,4
10201590625,6,5,5,4,6,5,6,5,4,4,4,4,4,4,4,3,4,4,5,4,5
10201597123,7,6,6,5,6,6,7,6,4,4,4,6,6,5,7,6,6,7,6,6,7
10201599975,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
10201600589,6,7,6,6,7,6,6,7,7,7,7,6,6,7,7,7,7,6,7,7,6
10201601813,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10201610712,6,5,6,6,6,6,5,6,6,5,6,6,5,6,6,3,6,6,6,6,6
10201612255,7,6,6,5,7,7,7,7,5,5,5,5,6,6,5,5,5,6,6,6,6
10201615492,7,7,7,7,6,6,6,4,5,4,7,4,4,4,4,4,7,4,7,6,7
10201615933,6,4,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6
10201616453,6,6,6,6,4,4,5,5,4,4,4,5,5,5,5,6,6,6,6,6,6
10201617790,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5
10201618124,6,7,5,6,6,5,6,5,6,5,6,6,6,5,6,5,6,7,6,6,7
10201622634,7,6,7,5,7,6,7,5,7,7,6,7,7,7,7,7,7,7,6,7,7
